session_id,user_id,region,user_segment,device,variant,peak_hour,rainy_weather,basket_size,order_subtotal,delivery_fee,checkout_started,converted_order,tipped,tip_pct,tip_amount,driver_accepted
TIP-00001,USR-0001,north,new_user,ios,control,1,1,1,18.85,2.87,1,1,1,0.1335,2.52,1
TIP-00002,USR-0002,south,casual,android,treatment,1,0,2,22.85,2.94,1,1,1,0.123,2.81,1
TIP-00003,USR-0003,east,power_user,web,control,0,0,3,23.28,2.71,1,1,1,0.1211,2.82,1
TIP-00004,USR-0004,west,new_user,ios,control,0,0,4,28.99,2.5,1,0,0,0.0,0.0,0
TIP-00005,USR-0005,north,casual,android,treatment,0,0,1,31.83,2.86,1,1,0,0.0,0.0,1
TIP-00006,USR-0006,south,power_user,web,treatment,1,0,2,33.1,2.95,1,0,0,0.0,0.0,0
TIP-00007,USR-0007,east,new_user,ios,control,1,0,3,37.93,3.73,1,0,0,0.0,0.0,0
TIP-00008,USR-0008,west,casual,android,treatment,0,1,4,40.92,3.56,1,1,1,0.1726,7.06,1
TIP-00009,USR-0009,north,power_user,web,treatment,0,0,1,45.16,3.13,1,0,0,0.0,0.0,0
TIP-00010,USR-0010,south,new_user,ios,control,0,0,2,16.95,2.74,1,1,1,0.1138,1.93,1
TIP-00011,USR-0011,east,casual,android,control,1,0,3,20.89,3.54,1,1,1,0.1205,2.52,1
TIP-00012,USR-0012,west,power_user,web,treatment,1,0,4,26.2,3.55,1,1,1,0.1671,4.38,1
TIP-00013,USR-0013,north,new_user,ios,control,0,0,1,27.61,3.58,1,0,0,0.0,0.0,0
TIP-00014,USR-0014,south,casual,android,control,0,0,2,31.38,3.24,1,0,0,0.0,0.0,0
TIP-00015,USR-0015,east,power_user,web,treatment,0,1,3,35.28,2.74,1,1,1,0.1337,4.72,1
TIP-00016,USR-0016,west,new_user,ios,treatment,1,0,4,39.02,3.8,1,1,1,0.1488,5.81,0
TIP-00017,USR-0017,north,casual,android,control,1,0,1,40.67,3.13,1,1,1,0.1075,4.37,1
TIP-00018,USR-0018,south,power_user,web,treatment,0,0,2,45.27,2.93,1,1,0,0.0,0.0,1
TIP-00019,USR-0019,east,new_user,ios,treatment,0,0,3,17.09,2.54,1,1,1,0.1626,2.78,1
TIP-00020,USR-0020,west,casual,android,control,0,0,4,20.2,2.91,1,0,0,0.0,0.0,0
TIP-00021,USR-0021,north,power_user,web,control,1,0,1,24.89,3.91,1,0,0,0.0,0.0,0
TIP-00022,USR-0022,south,new_user,ios,treatment,1,1,2,26.44,3.63,1,0,0,0.0,0.0,0
TIP-00023,USR-0023,east,casual,android,control,0,0,3,31.32,2.78,1,0,0,0.0,0.0,0
TIP-00024,USR-0024,west,power_user,web,control,0,0,4,33.16,2.97,1,1,0,0.0,0.0,0
TIP-00025,USR-0025,north,new_user,ios,treatment,0,0,1,36.84,3.04,1,1,0,0.0,0.0,0
TIP-00026,USR-0026,south,casual,android,treatment,1,0,2,40.16,3.54,1,0,0,0.0,0.0,0
TIP-00027,USR-0027,east,power_user,web,control,1,0,3,42.89,3.68,1,1,0,0.0,0.0,1
TIP-00028,USR-0028,west,new_user,ios,treatment,0,0,4,16.8,2.85,1,1,0,0.0,0.0,0
TIP-00029,USR-0029,north,casual,android,treatment,0,1,1,22.66,2.83,1,1,0,0.0,0.0,0
TIP-00030,USR-0030,south,power_user,web,control,0,0,2,23.47,3.02,1,1,0,0.0,0.0,0
TIP-00031,USR-0031,east,new_user,ios,control,1,0,3,26.81,3.36,1,1,1,0.157,4.21,1
TIP-00032,USR-0032,west,casual,android,treatment,1,0,4,30.28,3.43,1,0,0,0.0,0.0,0
TIP-00033,USR-0033,north,power_user,web,control,0,0,1,33.44,2.83,1,0,0,0.0,0.0,0
TIP-00034,USR-0034,south,new_user,ios,control,0,0,2,38.08,2.97,1,1,1,0.1134,4.32,1
TIP-00035,USR-0035,east,casual,android,treatment,0,0,3,41.08,2.74,1,1,1,0.1537,6.31,1
TIP-00036,USR-0036,west,power_user,web,treatment,1,1,4,45.3,3.79,1,1,1,0.1638,7.42,1
TIP-00037,USR-0037,north,new_user,ios,control,1,0,1,17.22,3.87,1,0,0,0.0,0.0,0
TIP-00038,USR-0038,south,casual,android,treatment,0,0,2,21.51,3.35,1,0,0,0.0,0.0,0
TIP-00039,USR-0039,east,power_user,web,treatment,0,0,3,23.81,2.6,1,1,1,0.1447,3.45,1
TIP-00040,USR-0040,west,new_user,ios,control,0,0,4,28.55,3.57,1,1,1,0.1357,3.87,0
TIP-00041,USR-0041,north,casual,android,control,1,0,1,30.4,3.05,1,1,1,0.1083,3.29,1
TIP-00042,USR-0042,south,power_user,web,treatment,1,0,2,35.75,3.33,1,0,0,0.0,0.0,0
TIP-00043,USR-0043,east,new_user,ios,control,0,1,3,37.76,2.55,1,0,0,0.0,0.0,0
TIP-00044,USR-0044,west,casual,android,control,0,0,4,41.88,3.56,1,0,0,0.0,0.0,0
TIP-00045,USR-0045,north,power_user,web,treatment,0,0,1,45.12,2.67,1,1,1,0.1251,5.64,1
TIP-00046,USR-0046,south,new_user,ios,treatment,1,0,2,18.01,3.92,1,1,0,0.0,0.0,1
TIP-00047,USR-0047,east,casual,android,control,1,0,3,21.35,3.89,1,0,0,0.0,0.0,0
TIP-00048,USR-0048,west,power_user,web,treatment,0,0,4,24.98,3.28,1,1,1,0.1803,4.5,1
TIP-00049,USR-0049,north,new_user,ios,treatment,0,0,1,28.14,3.31,1,1,1,0.1307,3.68,0
TIP-00050,USR-0050,south,casual,android,control,0,1,2,30.1,3.55,1,1,1,0.1337,4.02,1
TIP-00051,USR-0051,east,power_user,web,control,1,0,3,33.55,2.97,1,0,0,0.0,0.0,0
TIP-00052,USR-0052,west,new_user,ios,treatment,1,0,4,36.79,3.49,1,0,0,0.0,0.0,0
TIP-00053,USR-0053,north,casual,android,control,0,0,1,40.54,3.13,1,1,0,0.0,0.0,1
TIP-00054,USR-0054,south,power_user,web,control,0,0,2,44.69,2.75,1,1,0,0.0,0.0,1
TIP-00055,USR-0055,east,new_user,ios,treatment,0,0,3,17.81,3.32,1,1,1,0.1739,3.1,0
TIP-00056,USR-0056,west,casual,android,treatment,1,0,4,20.23,3.07,1,1,0,0.0,0.0,0
TIP-00057,USR-0057,north,power_user,web,control,1,1,1,26.01,3.25,1,1,0,0.0,0.0,0
TIP-00058,USR-0058,south,new_user,ios,treatment,0,0,2,28.36,3.58,1,0,0,0.0,0.0,0
TIP-00059,USR-0059,east,casual,android,treatment,0,0,3,29.63,3.39,1,1,0,0.0,0.0,0
TIP-00060,USR-0060,west,power_user,web,control,0,0,4,33.23,2.62,1,1,1,0.132,4.39,1
TIP-00061,USR-0061,north,new_user,ios,control,1,0,1,38.3,3.06,1,0,0,0.0,0.0,0
TIP-00062,USR-0062,south,casual,android,treatment,1,0,2,40.04,3.38,1,0,0,0.0,0.0,0
TIP-00063,USR-0063,east,power_user,web,control,0,0,3,45.11,2.59,1,1,1,0.1092,4.93,1
TIP-00064,USR-0064,west,new_user,ios,control,0,1,4,18.84,2.78,1,0,0,0.0,0.0,0
TIP-00065,USR-0065,north,casual,android,treatment,0,0,1,21.77,2.96,1,1,1,0.1516,3.3,0
TIP-00066,USR-0066,south,power_user,web,treatment,1,0,2,24.95,3.76,1,1,1,0.118,2.94,1
TIP-00067,USR-0067,east,new_user,ios,control,1,0,3,29.28,3.72,1,0,0,0.0,0.0,0
TIP-00068,USR-0068,west,casual,android,treatment,0,0,4,32.48,2.72,1,1,1,0.1699,5.52,0
TIP-00069,USR-0069,north,power_user,web,treatment,0,0,1,34.1,3.17,1,1,0,0.0,0.0,0
TIP-00070,USR-0070,south,new_user,ios,control,0,0,2,39.12,3.38,1,0,0,0.0,0.0,0
TIP-00071,USR-0071,east,casual,android,control,1,1,3,39.28,3.65,1,1,0,0.0,0.0,0
TIP-00072,USR-0072,west,power_user,web,treatment,1,0,4,45.17,3.73,1,1,0,0.0,0.0,1
TIP-00073,USR-0073,north,new_user,ios,control,0,0,1,19.59,3.43,1,1,0,0.0,0.0,1
TIP-00074,USR-0074,south,casual,android,control,0,0,2,20.98,3.36,1,1,1,0.1116,2.34,1
TIP-00075,USR-0075,east,power_user,web,treatment,0,0,3,25.97,3.55,1,1,1,0.141,3.66,0
TIP-00076,USR-0076,west,new_user,ios,treatment,1,0,4,28.12,3.87,1,1,0,0.0,0.0,1
TIP-00077,USR-0077,north,casual,android,control,1,0,1,32.68,3.13,1,1,1,0.1331,4.35,1
TIP-00078,USR-0078,south,power_user,web,treatment,0,1,2,34.74,3.05,1,1,1,0.125,4.34,1
TIP-00079,USR-0079,east,new_user,ios,treatment,0,0,3,36.01,3.51,1,1,0,0.0,0.0,0
TIP-00080,USR-0080,west,casual,android,control,0,0,4,41.35,2.89,1,1,0,0.0,0.0,1
TIP-00081,USR-0081,north,power_user,web,control,1,0,1,43.4,3.77,1,0,0,0.0,0.0,0
TIP-00082,USR-0082,south,new_user,ios,treatment,1,0,2,17.76,3.18,1,1,1,0.1273,2.26,1
TIP-00083,USR-0083,east,casual,android,control,0,0,3,21.35,3.52,1,0,0,0.0,0.0,0
TIP-00084,USR-0084,west,power_user,web,control,0,0,4,26.09,3.17,1,1,1,0.117,3.05,1
TIP-00085,USR-0085,north,new_user,ios,treatment,0,1,1,27.78,3.13,1,0,0,0.0,0.0,0
TIP-00086,USR-0086,south,casual,android,treatment,1,0,2,31.09,3.33,1,1,1,0.1606,4.99,0
TIP-00087,USR-0087,east,power_user,web,control,1,0,3,33.34,2.93,1,1,1,0.1274,4.25,0
TIP-00088,USR-0088,west,new_user,ios,treatment,0,0,4,38.4,3.23,1,1,1,0.1283,4.93,1
TIP-00089,USR-0089,north,casual,android,treatment,0,0,1,40.72,3.42,1,1,1,0.1376,5.6,1
TIP-00090,USR-0090,south,power_user,web,control,0,0,2,44.63,3.03,1,1,0,0.0,0.0,1
TIP-00091,USR-0091,east,new_user,ios,control,1,0,3,19.2,3.69,1,1,1,0.1187,2.28,0
TIP-00092,USR-0092,west,casual,android,treatment,1,1,4,21.66,2.9,1,1,0,0.0,0.0,1
TIP-00093,USR-0093,north,power_user,web,control,0,0,1,25.76,3.22,1,0,0,0.0,0.0,0
TIP-00094,USR-0094,south,new_user,ios,control,0,0,2,28.31,3.54,1,0,0,0.0,0.0,0
TIP-00095,USR-0095,east,casual,android,treatment,0,0,3,31.56,3.28,1,1,0,0.0,0.0,1
TIP-00096,USR-0096,west,power_user,web,treatment,1,0,4,35.67,3.66,1,1,1,0.1406,5.02,1
TIP-00097,USR-0097,north,new_user,ios,control,1,0,1,38.45,3.41,1,0,0,0.0,0.0,0
TIP-00098,USR-0098,south,casual,android,treatment,0,0,2,40.08,2.58,1,1,1,0.1286,5.15,1
TIP-00099,USR-0099,east,power_user,web,treatment,0,1,3,42.84,2.74,1,0,0,0.0,0.0,0
TIP-00100,USR-0100,west,new_user,ios,control,0,0,4,19.06,2.56,1,1,1,0.1399,2.67,1
TIP-00101,USR-0101,north,casual,android,control,1,0,1,21.34,3.84,1,1,0,0.0,0.0,0
TIP-00102,USR-0102,south,power_user,web,treatment,1,0,2,25.65,3.26,1,1,1,0.1524,3.91,0
TIP-00103,USR-0103,east,new_user,ios,control,0,0,3,29.45,2.95,1,0,0,0.0,0.0,0
TIP-00104,USR-0104,west,casual,android,control,0,0,4,31.35,3.15,1,1,1,0.141,4.42,1
TIP-00105,USR-0105,north,power_user,web,treatment,0,0,1,33.88,3.24,1,1,1,0.1287,4.36,1
TIP-00106,USR-0106,south,new_user,ios,treatment,1,1,2,37.99,2.87,1,1,1,0.1125,4.27,1
TIP-00107,USR-0107,east,casual,android,control,1,0,3,39.63,3.35,1,1,1,0.1206,4.78,1
